IF set: {'37'}  THEN set: {'1'}  CONFIDENCE: 0.9362745098039216
IF set: {'38', '41', '56', '60', '23', '36', '59'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8056872037914692
IF set: {'38', '41', '56', '86', '23', '36', '59'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8717948717948718
IF set: {'41', '56', '60', '86', '23', '36', '59'}  THEN set: {'38', '40'}  CONFIDENCE: 0.8717948717948718
IF set: {'38', '56', '60', '86', '23', '36', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8629441624365483
IF set: {'38', '41', '60', '23', '36', '40', '56', '86'}  THEN set: {'59'}  CONFIDENCE: 1.0
IF set: {'38', '41', '60', '23', '36', '40', '59', '86'}  THEN set: {'56'}  CONFIDENCE: 0.9714285714285714
IF set: {'38', '41', '60', '23', '36', '40', '59', '56'}  THEN set: {'86'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '41', '23', '36', '40', '59', '56', '86'}  THEN set: {'60'}  CONFIDENCE: 1.0
IF set: {'41', '60', '23', '36', '40', '59', '56', '86'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '23', '36', '40', '59', '56', '86'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '41', '60', '23', '36', '59', '56', '86'}  THEN set: {'40'}  CONFIDENCE: 0.8717948717948718
IF set: {'58', '23', '36', '59'}  THEN set: {'38', '41', '60', '86', '40'}  CONFIDENCE: 0.7990654205607477
IF set: {'58', '40', '23', '36', '59'}  THEN set: {'60', '86', '38', '41'}  CONFIDENCE: 0.9661016949152542
IF set: {'58', '41', '23', '36', '59'}  THEN set: {'60', '86', '38', '40'}  CONFIDENCE: 0.8181818181818182
IF set: {'58', '38', '23', '36', '59'}  THEN set: {'60', '86', '41', '40'}  CONFIDENCE: 0.7990654205607477
IF set: {'58', '60', '23', '36', '59'}  THEN set: {'86', '38', '41', '40'}  CONFIDENCE: 0.8028169014084507
IF set: {'58', '86', '23', '36', '59'}  THEN set: {'60', '38', '41', '40'}  CONFIDENCE: 0.8423645320197044
IF set: {'58', '41', '23', '59', '36', '40'}  THEN set: {'60', '86', '38'}  CONFIDENCE: 0.9715909090909091
IF set: {'58', '38', '23', '59', '36', '40'}  THEN set: {'60', '86', '41'}  CONFIDENCE: 0.9661016949152542
IF set: {'58', '60', '23', '59', '36', '40'}  THEN set: {'86', '38', '41'}  CONFIDENCE: 0.9661016949152542
IF set: {'58', '86', '23', '59', '36', '40'}  THEN set: {'60', '38', '41'}  CONFIDENCE: 0.9941860465116279
IF set: {'58', '38', '41', '23', '36', '59'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8181818181818182
IF set: {'58', '41', '60', '23', '36', '59'}  THEN set: {'86', '38', '40'}  CONFIDENCE: 0.8181818181818182
IF set: {'58', '41', '86', '23', '36', '59'}  THEN set: {'60', '38', '40'}  CONFIDENCE: 0.8636363636363636
IF set: {'58', '38', '60', '23', '36', '59'}  THEN set: {'86', '41', '40'}  CONFIDENCE: 0.8028169014084507
IF set: {'58', '38', '86', '23', '36', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.8423645320197044
IF set: {'58', '60', '86', '23', '36', '59'}  THEN set: {'38', '41', '40'}  CONFIDENCE: 0.8465346534653465
IF set: {'58', '38', '41', '23', '59', '36', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9715909090909091
IF set: {'58', '41', '60', '23', '59', '36', '40'}  THEN set: {'86', '38'}  CONFIDENCE: 0.9715909090909091
IF set: {'58', '41', '86', '23', '59', '36', '40'}  THEN set: {'60', '38'}  CONFIDENCE: 1.0
IF set: {'58', '38', '60', '23', '59', '36', '40'}  THEN set: {'86', '41'}  CONFIDENCE: 0.9661016949152542
IF set: {'58', '38', '86', '23', '59', '36', '40'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9941860465116279
IF set: {'58', '60', '86', '23', '59', '36', '40'}  THEN set: {'38', '41'}  CONFIDENCE: 0.9941860465116279
IF set: {'58', '38', '41', '60', '23', '36', '59'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8181818181818182
IF set: {'58', '38', '41', '86', '23', '36', '59'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8636363636363636
IF set: {'58', '41', '60', '86', '23', '36', '59'}  THEN set: {'38', '40'}  CONFIDENCE: 0.8636363636363636
IF set: {'58', '38', '60', '86', '23', '36', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8465346534653465
IF set: {'58', '38', '41', '60', '23', '36', '40', '86'}  THEN set: {'59'}  CONFIDENCE: 1.0
IF set: {'58', '38', '41', '60', '23', '36', '40', '59'}  THEN set: {'86'}  CONFIDENCE: 0.9715909090909091
IF set: {'58', '38', '41', '23', '36', '40', '59', '86'}  THEN set: {'60'}  CONFIDENCE: 1.0
IF set: {'58', '41', '60', '23', '36', '40', '59', '86'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'58', '38', '60', '23', '36', '40', '59', '86'}  THEN set: {'41'}  CONFIDENCE: 0.9941860465116279
IF set: {'58', '38', '41', '60', '23', '36', '59', '86'}  THEN set: {'40'}  CONFIDENCE: 0.8636363636363636
IF set: {'23', '36', '14', '59'}  THEN set: {'60', '86', '41', '40'}  CONFIDENCE: 0.783410138248848
IF set: {'40', '23', '36', '14', '59'}  THEN set: {'60', '86', '41'}  CONFIDENCE: 0.9550561797752809
IF set: {'41', '23', '36', '14', '59'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8056872037914692
IF set: {'60', '23', '36', '14', '59'}  THEN set: {'86', '41', '40'}  CONFIDENCE: 0.7906976744186046
IF set: {'86', '23', '36', '14', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.821256038647343
IF set: {'41', '23', '59', '36', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.96045197740113
IF set: {'60', '23', '59', '36', '14', '40'}  THEN set: {'86', '41'}  CONFIDENCE: 0.96045197740113
IF set: {'86', '23', '59', '36', '14', '40'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9883720930232558
IF set: {'41', '60', '23', '36', '14', '59'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8095238095238095
IF set: {'41', '86', '23', '36', '14', '59'}  THEN set: {'60', '40'}  CONFIDENCE: 0.845771144278607
IF set: {'60', '86', '23', '36', '14', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8292682926829268
IF set: {'41', '60', '23', '59', '36', '14', '40'}  THEN set: {'86'}  CONFIDENCE: 0.9659090909090909
IF set: {'41', '86', '23', '59', '36', '14', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9941520467836257
IF set: {'60', '86', '23', '59', '36', '14', '40'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'41', '60', '86', '23', '36', '14', '59'}  THEN set: {'40'}  CONFIDENCE: 0.85
IF set: {'38', '23', '36', '14', '59'}  THEN set: {'60', '86', '41', '40'}  CONFIDENCE: 0.783410138248848
IF set: {'38', '23', '59', '36', '14', '40'}  THEN set: {'60', '86', '41'}  CONFIDENCE: 0.9550561797752809
IF set: {'38', '41', '23', '36', '14', '59'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8056872037914692
IF set: {'38', '60', '23', '36', '14', '59'}  THEN set: {'86', '41', '40'}  CONFIDENCE: 0.7906976744186046
IF set: {'38', '86', '23', '36', '14', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.821256038647343
IF set: {'38', '41', '23', '59', '36', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.96045197740113
IF set: {'38', '60', '23', '59', '36', '14', '40'}  THEN set: {'86', '41'}  CONFIDENCE: 0.96045197740113
IF set: {'38', '86', '23', '59', '36', '14', '40'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9883720930232558
IF set: {'38', '41', '60', '23', '36', '14', '59'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8095238095238095
IF set: {'38', '41', '86', '23', '36', '14', '59'}  THEN set: {'60', '40'}  CONFIDENCE: 0.845771144278607
IF set: {'38', '60', '86', '23', '36', '14', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8292682926829268
IF set: {'38', '41', '60', '23', '36', '40', '59', '14'}  THEN set: {'86'}  CONFIDENCE: 0.9659090909090909
IF set: {'38', '41', '23', '36', '40', '59', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9941520467836257
IF set: {'41', '60', '23', '36', '40', '59', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '23', '36', '40', '59', '86', '14'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '41', '60', '23', '36', '59', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.85
IF set: {'39', '23', '36', '59'}  THEN set: {'41', '60', '86', '14', '40'}  CONFIDENCE: 0.794392523364486
IF set: {'40', '39', '23', '36', '59'}  THEN set: {'60', '86', '41', '14'}  CONFIDENCE: 0.9550561797752809
IF set: {'41', '39', '23', '36', '59'}  THEN set: {'60', '86', '14', '40'}  CONFIDENCE: 0.8133971291866029
IF set: {'60', '39', '23', '36', '59'}  THEN set: {'86', '41', '14', '40'}  CONFIDENCE: 0.8018867924528302
IF set: {'39', '23', '36', '14', '59'}  THEN set: {'60', '86', '41', '40'}  CONFIDENCE: 0.8133971291866029
IF set: {'39', '23', '86', '36', '59'}  THEN set: {'60', '41', '14', '40'}  CONFIDENCE: 0.8252427184466019
IF set: {'41', '39', '23', '59', '36', '40'}  THEN set: {'60', '86', '14'}  CONFIDENCE: 0.96045197740113
IF set: {'60', '39', '23', '59', '36', '40'}  THEN set: {'86', '41', '14'}  CONFIDENCE: 0.96045197740113
IF set: {'39', '23', '59', '36', '14', '40'}  THEN set: {'60', '86', '41'}  CONFIDENCE: 0.9714285714285714
IF set: {'86', '39', '23', '59', '36', '40'}  THEN set: {'60', '41', '14'}  CONFIDENCE: 0.9714285714285714
IF set: {'41', '60', '39', '23', '36', '59'}  THEN set: {'86', '14', '40'}  CONFIDENCE: 0.8173076923076923
IF set: {'41', '39', '23', '36', '14', '59'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8333333333333334
IF set: {'41', '39', '23', '86', '36', '59'}  THEN set: {'60', '14', '40'}  CONFIDENCE: 0.845771144278607
IF set: {'60', '39', '23', '36', '14', '59'}  THEN set: {'86', '41', '40'}  CONFIDENCE: 0.821256038647343
IF set: {'60', '39', '23', '86', '36', '59'}  THEN set: {'41', '14', '40'}  CONFIDENCE: 0.8333333333333334
IF set: {'39', '23', '86', '36', '14', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.8415841584158416
IF set: {'41', '60', '39', '23', '59', '36', '40'}  THEN set: {'86', '14'}  CONFIDENCE: 0.9659090909090909
IF set: {'41', '39', '23', '59', '36', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9770114942528736
IF set: {'41', '86', '39', '23', '59', '36', '40'}  THEN set: {'60', '14'}  CONFIDENCE: 0.9770114942528736
IF set: {'60', '39', '23', '59', '36', '14', '40'}  THEN set: {'86', '41'}  CONFIDENCE: 0.9770114942528736
IF set: {'86', '60', '39', '23', '59', '36', '40'}  THEN set: {'41', '14'}  CONFIDENCE: 0.9770114942528736
IF set: {'86', '39', '23', '59', '36', '14', '40'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9883720930232558
IF set: {'41', '60', '39', '23', '36', '14', '59'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8374384236453202
IF set: {'41', '60', '39', '23', '86', '36', '59'}  THEN set: {'14', '40'}  CONFIDENCE: 0.85
IF set: {'41', '39', '23', '86', '36', '14', '59'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8629441624365483
IF set: {'60', '39', '23', '86', '36', '14', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.85
IF set: {'41', '60', '39', '23', '36', '40', '59', '14'}  THEN set: {'86'}  CONFIDENCE: 0.9826589595375722
IF set: {'41', '60', '39', '23', '36', '40', '59', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9826589595375722
IF set: {'41', '39', '23', '36', '40', '59', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9941520467836257
IF set: {'60', '39', '23', '36', '40', '59', '86', '14'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'41', '60', '39', '23', '36', '59', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.8673469387755102
IF set: {'38', '39', '23', '36', '59'}  THEN set: {'41', '60', '86', '14', '40'}  CONFIDENCE: 0.794392523364486
IF set: {'38', '39', '23', '59', '36', '40'}  THEN set: {'60', '86', '41', '14'}  CONFIDENCE: 0.9550561797752809
IF set: {'38', '41', '39', '23', '36', '59'}  THEN set: {'60', '86', '14', '40'}  CONFIDENCE: 0.8133971291866029
IF set: {'38', '60', '39', '23', '36', '59'}  THEN set: {'86', '41', '14', '40'}  CONFIDENCE: 0.8018867924528302
IF set: {'38', '39', '23', '36', '14', '59'}  THEN set: {'60', '86', '41', '40'}  CONFIDENCE: 0.8133971291866029
IF set: {'38', '39', '23', '86', '36', '59'}  THEN set: {'60', '41', '14', '40'}  CONFIDENCE: 0.8252427184466019
IF set: {'38', '41', '39', '23', '59', '36', '40'}  THEN set: {'60', '86', '14'}  CONFIDENCE: 0.96045197740113
IF set: {'38', '60', '39', '23', '59', '36', '40'}  THEN set: {'86', '41', '14'}  CONFIDENCE: 0.96045197740113
IF set: {'38', '39', '23', '59', '36', '14', '40'}  THEN set: {'60', '86', '41'}  CONFIDENCE: 0.9714285714285714
IF set: {'38', '86', '39', '23', '59', '36', '40'}  THEN set: {'60', '41', '14'}  CONFIDENCE: 0.9714285714285714
IF set: {'38', '41', '60', '39', '23', '36', '59'}  THEN set: {'86', '14', '40'}  CONFIDENCE: 0.8173076923076923
IF set: {'38', '41', '39', '23', '36', '14', '59'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8333333333333334
IF set: {'38', '41', '39', '23', '86', '36', '59'}  THEN set: {'60', '14', '40'}  CONFIDENCE: 0.845771144278607
IF set: {'38', '60', '39', '23', '36', '14', '59'}  THEN set: {'86', '41', '40'}  CONFIDENCE: 0.821256038647343
IF set: {'38', '60', '39', '23', '86', '36', '59'}  THEN set: {'41', '14', '40'}  CONFIDENCE: 0.8333333333333334
IF set: {'38', '39', '23', '86', '36', '14', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.8415841584158416
IF set: {'38', '41', '60', '39', '23', '36', '40', '59'}  THEN set: {'86', '14'}  CONFIDENCE: 0.9659090909090909
IF set: {'38', '41', '39', '23', '36', '40', '59', '14'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9770114942528736
IF set: {'38', '41', '39', '23', '36', '40', '59', '86'}  THEN set: {'60', '14'}  CONFIDENCE: 0.9770114942528736
IF set: {'38', '60', '39', '23', '36', '40', '59', '14'}  THEN set: {'86', '41'}  CONFIDENCE: 0.9770114942528736
IF set: {'38', '60', '39', '23', '36', '40', '59', '86'}  THEN set: {'41', '14'}  CONFIDENCE: 0.9770114942528736
IF set: {'38', '39', '23', '36', '40', '59', '86', '14'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9883720930232558
IF set: {'38', '41', '60', '39', '23', '36', '59', '14'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8374384236453202
IF set: {'38', '41', '60', '39', '23', '36', '59', '86'}  THEN set: {'14', '40'}  CONFIDENCE: 0.85
IF set: {'38', '41', '39', '23', '36', '59', '86', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8629441624365483
IF set: {'38', '60', '39', '23', '36', '59', '86', '14'}  THEN set: {'41', '40'}  CONFIDENCE: 0.85
IF set: {'38', '41', '60', '39', '23', '36', '40', '86', '14'}  THEN set: {'59'}  CONFIDENCE: 1.0
IF set: {'38', '41', '60', '23', '36', '40', '59', '86', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'38', '41', '60', '39', '23', '36', '40', '59', '14'}  THEN set: {'86'}  CONFIDENCE: 0.9826589595375722
IF set: {'38', '41', '60', '39', '23', '36', '40', '59', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9826589595375722
IF set: {'38', '41', '39', '23', '36', '40', '59', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9941520467836257
IF set: {'41', '60', '39', '23', '36', '40', '59', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '36', '40', '59', '86', '14'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '41', '60', '39', '23', '36', '59', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.8673469387755102
IF set: {'58', '39', '23', '36', '59'}  THEN set: {'60', '86', '38', '40'}  CONFIDENCE: 0.8173076923076923
IF set: {'58', '39', '23', '59', '36', '40'}  THEN set: {'60', '86', '38'}  CONFIDENCE: 0.9826589595375722
IF set: {'58', '38', '39', '23', '36', '59'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8173076923076923
IF set: {'58', '60', '39', '23', '36', '59'}  THEN set: {'86', '38', '40'}  CONFIDENCE: 0.821256038647343
IF set: {'58', '39', '23', '86', '36', '59'}  THEN set: {'60', '38', '40'}  CONFIDENCE: 0.85
IF set: {'58', '38', '39', '23', '59', '36', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9826589595375722
IF set: {'58', '60', '39', '23', '59', '36', '40'}  THEN set: {'86', '38'}  CONFIDENCE: 0.9826589595375722
IF set: {'58', '86', '39', '23', '59', '36', '40'}  THEN set: {'60', '38'}  CONFIDENCE: 1.0
IF set: {'58', '38', '60', '39', '23', '36', '59'}  THEN set: {'86', '40'}  CONFIDENCE: 0.821256038647343
IF set: {'58', '38', '39', '23', '86', '36', '59'}  THEN set: {'60', '40'}  CONFIDENCE: 0.85
IF set: {'58', '60', '39', '23', '86', '36', '59'}  THEN set: {'38', '40'}  CONFIDENCE: 0.8542713567839196
IF set: {'58', '38', '60', '39', '23', '36', '40', '59'}  THEN set: {'86'}  CONFIDENCE: 0.9826589595375722
IF set: {'58', '38', '39', '23', '36', '40', '59', '86'}  THEN set: {'60'}  CONFIDENCE: 1.0
IF set: {'58', '60', '39', '23', '36', '40', '59', '86'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'58', '38', '60', '39', '23', '36', '59', '86'}  THEN set: {'40'}  CONFIDENCE: 0.8542713567839196
IF set: {'14', '23', '36', '56'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.7782805429864253
IF set: {'56', '23', '36', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9347826086956522
IF set: {'56', '60', '23', '36', '14'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8309178743961353
IF set: {'56', '86', '23', '36', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8113207547169812
IF set: {'56', '60', '23', '36', '14', '40'}  THEN set: {'86'}  CONFIDENCE: 0.9828571428571429
IF set: {'56', '86', '23', '36', '14', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9555555555555556
IF set: {'56', '60', '86', '23', '36', '14'}  THEN set: {'40'}  CONFIDENCE: 0.86
IF set: {'38', '56', '23', '36', '14'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.7853881278538812
IF set: {'38', '56', '23', '36', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9398907103825137
IF set: {'38', '56', '60', '23', '36', '14'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8309178743961353
IF set: {'38', '56', '86', '23', '36', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.819047619047619
IF set: {'38', '56', '60', '23', '36', '14', '40'}  THEN set: {'86'}  CONFIDENCE: 0.9828571428571429
IF set: {'38', '56', '86', '23', '36', '14', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9608938547486033
IF set: {'56', '60', '86', '23', '36', '14', '40'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '56', '60', '86', '23', '36', '14'}  THEN set: {'40'}  CONFIDENCE: 0.86
IF set: {'39', '23', '36', '56'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.7743362831858407
IF set: {'56', '39', '23', '36', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9358288770053476
IF set: {'56', '60', '39', '23', '36'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8254716981132075
IF set: {'56', '39', '23', '86', '36'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8101851851851852
IF set: {'56', '60', '39', '23', '36', '40'}  THEN set: {'86'}  CONFIDENCE: 0.9831460674157303
IF set: {'56', '39', '23', '86', '36', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9562841530054644
IF set: {'56', '60', '39', '23', '86', '36'}  THEN set: {'40'}  CONFIDENCE: 0.8578431372549019
IF set: {'56', '39', '23', '36', '14'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.7782805429864253
IF set: {'56', '39', '23', '36', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9347826086956522
IF set: {'56', '60', '39', '23', '36', '14'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8309178743961353
IF set: {'56', '39', '23', '86', '36', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8113207547169812
IF set: {'56', '60', '39', '23', '36', '14', '40'}  THEN set: {'86'}  CONFIDENCE: 0.9828571428571429
IF set: {'56', '60', '39', '23', '86', '36', '40'}  THEN set: {'14'}  CONFIDENCE: 0.9828571428571429
IF set: {'56', '39', '23', '86', '36', '14', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9555555555555556
IF set: {'56', '60', '39', '23', '86', '36', '14'}  THEN set: {'40'}  CONFIDENCE: 0.86
IF set: {'38', '56', '39', '23', '36'}  THEN set: {'60', '86', '14', '40'}  CONFIDENCE: 0.7678571428571429
IF set: {'38', '56', '39', '23', '36', '40'}  THEN set: {'60', '86', '14'}  CONFIDENCE: 0.9247311827956989
IF set: {'38', '56', '60', '39', '23', '36'}  THEN set: {'86', '14', '40'}  CONFIDENCE: 0.8113207547169812
IF set: {'38', '56', '39', '23', '36', '14'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.7853881278538812
IF set: {'38', '56', '39', '23', '86', '36'}  THEN set: {'60', '14', '40'}  CONFIDENCE: 0.8037383177570093
IF set: {'38', '56', '60', '39', '23', '36', '40'}  THEN set: {'86', '14'}  CONFIDENCE: 0.9662921348314607
IF set: {'38', '56', '39', '23', '36', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.9398907103825137
IF set: {'38', '56', '39', '23', '86', '36', '40'}  THEN set: {'60', '14'}  CONFIDENCE: 0.945054945054945
IF set: {'38', '56', '60', '39', '23', '36', '14'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8309178743961353
IF set: {'38', '56', '60', '39', '23', '86', '36'}  THEN set: {'14', '40'}  CONFIDENCE: 0.8431372549019608
IF set: {'38', '56', '39', '23', '86', '36', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.819047619047619
IF set: {'38', '60', '23', '36', '40', '56', '86', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '36', '40', '56', '14'}  THEN set: {'86'}  CONFIDENCE: 0.9828571428571429
IF set: {'38', '60', '39', '23', '36', '40', '56', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9828571428571429
IF set: {'38', '39', '23', '36', '40', '56', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9608938547486033
IF set: {'60', '39', '23', '36', '40', '56', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '36', '56', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.86
IF set: {'39', '23', '104'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8181818181818182
IF set: {'39', '23', '104', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.95
IF set: {'60', '39', '23', '104'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8260869565217391
IF set: {'104', '39', '23', '86'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8769230769230769
IF set: {'60', '86', '23', '104', '40'}  THEN set: {'39'}  CONFIDENCE: 0.9
IF set: {'60', '39', '23', '104', '40'}  THEN set: {'86'}  CONFIDENCE: 0.9606741573033708
IF set: {'104', '39', '23', '86', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9884393063583815
IF set: {'60', '104', '39', '23', '86'}  THEN set: {'40'}  CONFIDENCE: 0.8860103626943006
IF set: {'38', '23', '104'}  THEN set: {'60', '39', '86', '40'}  CONFIDENCE: 0.8592964824120602
IF set: {'38', '23', '104', '40'}  THEN set: {'60', '39', '86'}  CONFIDENCE: 0.8300970873786407
IF set: {'60', '38', '23', '104'}  THEN set: {'39', '86', '40'}  CONFIDENCE: 0.8636363636363636
IF set: {'38', '86', '23', '104'}  THEN set: {'60', '39', '40'}  CONFIDENCE: 0.7566371681415929
IF set: {'38', '39', '23', '104'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8181818181818182
IF set: {'38', '60', '23', '104', '40'}  THEN set: {'39', '86'}  CONFIDENCE: 0.8382352941176471
IF set: {'38', '86', '23', '104', '40'}  THEN set: {'60', '39'}  CONFIDENCE: 0.890625
IF set: {'38', '39', '23', '104', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.95
IF set: {'38', '60', '86', '23', '104'}  THEN set: {'39', '40'}  CONFIDENCE: 0.7633928571428571
IF set: {'38', '60', '39', '23', '104'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8260869565217391
IF set: {'38', '104', '39', '23', '86'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8769230769230769
IF set: {'38', '60', '86', '23', '104', '40'}  THEN set: {'39'}  CONFIDENCE: 0.9
IF set: {'38', '60', '39', '23', '104', '40'}  THEN set: {'86'}  CONFIDENCE: 0.9606741573033708
IF set: {'38', '104', '39', '23', '86', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9884393063583815
IF set: {'60', '104', '39', '23', '86', '40'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '104', '39', '23', '86'}  THEN set: {'40'}  CONFIDENCE: 0.8860103626943006
IF set: {'23', '104', '14'}  THEN set: {'60', '39', '86', '40'}  CONFIDENCE: 0.9447513812154696
IF set: {'23', '104', '14', '40'}  THEN set: {'60', '39', '86'}  CONFIDENCE: 0.8300970873786407
IF set: {'60', '23', '104', '14'}  THEN set: {'39', '86', '40'}  CONFIDENCE: 0.95
IF set: {'86', '23', '104', '14'}  THEN set: {'60', '39', '40'}  CONFIDENCE: 0.7566371681415929
IF set: {'39', '23', '104', '14'}  THEN set: {'60', '86', '40'}  CONFIDENCE: 0.8181818181818182
IF set: {'60', '23', '104', '14', '40'}  THEN set: {'39', '86'}  CONFIDENCE: 0.8382352941176471
IF set: {'86', '23', '104', '14', '40'}  THEN set: {'60', '39'}  CONFIDENCE: 0.890625
IF set: {'39', '23', '104', '14', '40'}  THEN set: {'60', '86'}  CONFIDENCE: 0.95
IF set: {'60', '86', '23', '104', '14'}  THEN set: {'39', '40'}  CONFIDENCE: 0.7633928571428571
IF set: {'60', '39', '23', '104', '14'}  THEN set: {'86', '40'}  CONFIDENCE: 0.8260869565217391
IF set: {'104', '39', '23', '86', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8769230769230769
IF set: {'60', '86', '23', '104', '14', '40'}  THEN set: {'39'}  CONFIDENCE: 0.9
